기관코드,전체기관명,최하위기관명
1000000,대학,대학
7000055,강원대학교,강원대학교
7000067,강원대학교 사무국,사무국
7000068,강원대학교 사무국 총무과,총무과
7000071,강원대학교 경영대학,경영대학
7000073,강원대학교 공과대학,공과대학
7000077,강원대학교 농업생명과학대학,농업생명과학대학
7000079,강원대학교 법과대학,법과대학
7000081,강원대학교 사범대학,사범대학
7000083,강원대학교 사회과학대학,사회과학대학
7000085,강원대학교 약학대학,약학대학
7000089,강원대학교 인문대학,인문대학
7000094,강원대학교 자연과학대학,자연과학대학
7000098,강원대학교 대학원,대학원
7000101,강원대학교 교육대학원,교육대학원
7000102,강원대학교 산업대학원,산업대학원
7000113,강원대학교 연구소,연구소
7000126,경북대학교,경북대학교
7000127,경북대학교 교무처,교무처
7000131,경북대학교 학생처,학생처
7000132,경북대학교 학생처 학생과,학생과
7000138,경북대학교 사무국,사무국
7000139,경북대학교 사무국 총무과,총무과
7000141,경북대학교 사무국 시설과,시설과
7000142,경북대학교 경상대학,경상대학
7000144,경북대학교 공과대학,공과대학
7000155,경북대학교 사범대학,사범대학
7000156,경북대학교 사범대학 행정실,행정실
7000157,경북대학교 사회과학대학,사회과학대학
7000159,경북대학교 생활과학대학,생활과학대학
7000160,경북대학교 생활과학대학 행정실,행정실
7000161,경북대학교 수의과대학,수의과대학
7000162,경북대학교 수의과대학 행정실,행정실
7000164,경북대학교 예술대학,예술대학
7000165,경북대학교 예술대학 행정실,행정실
7000168,경북대학교 인문대학,인문대학
7000171,경북대학교 자연과학대학,자연과학대학
7000172,경북대학교 자연과학대학 행정실,행정실
7000175,경북대학교 대학원,대학원
7000176,경북대학교 대학원 행정실,행정실
7000177,경북대학교 경영대학원,경영대학원
7000178,경북대학교 교육대학원,교육대학원
7000179,경북대학교 농업개발대학원,농업개발대학원
7000180,경북대학교 보건대학원,보건대학원
7000181,경북대학교 산업대학원,산업대학원
7000182,경북대학교 행정대학원,행정대학원
7000183,경북대학교 도서관,도서관
7000186,경북대학교 도서관 열람과,열람과
7000187,경북대학교 박물관,박물관
7000190,경북대학교 공동실험실습관,공동실험실습관
7000191,경북대학교 보건진료소,보건진료소
7000196,경북대학교 과학교육연구소,과학교육연구소
7000198,경북대학교 기초과학연구소,기초과학연구소
7000200,경북대학교 퇴계연구소,퇴계연구소
7000201,경북대학교 평화문제연구소,평화문제연구소
7000202,경북대학교 지역개발연구소,지역개발연구소
7000203,경북대학교 경제경영연구소,경제경영연구소
7000205,경북대학교 산업기술연구소,산업기술연구소
7000206,경북대학교 농업과학기술연구소,농업과학기술연구소
7000215,경상대학교,경상대학교
7000216,경상대학교 교무처,교무처
7000217,경상대학교 교무처 교무과,교무과
7000227,경상대학교 사무국,사무국
7000228,경상대학교 사무국 총무과,총무과
7000230,경상대학교 사무국 시설과,시설과
7000231,경상대학교 경영대학,경영대학
7000232,경상대학교 경영대학 행정실,행정실
7000233,경상대학교 공과대학,공과대학
7000234,경상대학교 공과대학 행정실,행정실
7000238,경상대학교 법과대학,법과대학
7000239,경상대학교 법과대학 행정실,행정실
7000240,경상대학교 사범대학,사범대학
7000241,경상대학교 사범대학 행정실,행정실
7000242,경상대학교 사회과학대학,사회과학대학
7000243,경상대학교 사회과학대학 행정실,행정실
7000247,경상대학교 수의과대학,수의과대학
7000248,경상대학교 수의과대학 행정실,행정실
7000252,경상대학교 인문대학,인문대학
7000253,경상대학교 인문대학 행정실,행정실
7000254,경상대학교 자연과학대학,자연과학대학
7000255,경상대학교 자연과학대학 행정실,행정실
7000256,경상대학교 대학원,대학원
7000257,경상대학교 대학원 행정실,행정실
7000259,경상대학교 교육대학원,교육대학원
7000260,경상대학교 도서관,도서관
7000264,경상대학교 박물관,박물관
7000267,경상대학교 공동실험실습관,공동실험실습관
7000268,경상대학교 보건진료소,보건진료소
7000269,경상대학교 연구소,연구소
7000276,경상대학교 기초과학연구소,기초과학연구소
7000278,경상대학교 식물분자생물학및유전자조작연구소,식물분자생물학및유전자조작연구소
